family_name,days_total,pos_days,zero_days,zero_rate,pos_rate,qty_total,qty_avg_all_days,qty_avg_pos_days,qty_std_pos_days,years_count,active_months,adi,cv2_pos,peak_doy,season_start_p25,season_start_p50,season_start_p75,demand_class,data_quality_class,seasonality_class
agave,6273,352,5921,0.9439,0.0561,509.0,0.0811,1.446,0.8251,18,12,17.7293,0.3256,317,12.0,19.0,50.0,intermittent,strong,all_year
acero,6273,379,5894,0.9396,0.0604,527.0,0.084,1.3905,0.8005,18,12,16.5661,0.3314,97,38.5,61.5,75.8,intermittent,strong,all_year
cycas,6273,380,5893,0.9394,0.0606,495.0,0.0789,1.3026,0.5724,18,12,16.409,0.1931,145,9.5,29.0,48.8,intermittent,strong,all_year
finocchio,6273,387,5886,0.9383,0.0617,660.0,0.1052,1.7054,1.1788,18,12,14.4352,0.4778,120,37.0,67.5,77.8,intermittent,strong,all_year
thuja,6273,394,5878,0.937,0.0628,730.0,0.1164,1.8553,1.2709,18,12,15.9211,0.4692,275,13.0,41.0,75.5,intermittent,strong,all_year
adenium,6273,396,5877,0.9369,0.0631,553.0,0.0882,1.3965,0.8461,18,12,15.4076,0.3671,158,27.0,94.0,137.0,intermittent,strong,all_year
euphorbia eritrea,6273,402,5871,0.9359,0.0641,472.0,0.0752,1.1741,0.5989,18,12,15.5461,0.2601,146,5.2,13.0,77.2,intermittent,strong,all_year
opuntia,6273,413,5860,0.9342,0.0658,598.0,0.0953,1.4479,0.9656,18,12,15.0704,0.4447,275,8.8,19.0,72.5,intermittent,strong,all_year
rododendro,6273,413,5860,0.9342,0.0658,681.0,0.1086,1.6489,1.1343,18,12,14.915,0.4732,77,44.5,52.0,62.0,intermittent,strong,all_year
clusia,6273,418,5855,0.9334,0.0666,478.0,0.0762,1.1435,0.4308,18,12,12.6019,0.1419,354,5.0,11.0,34.2,intermittent,strong,all_year
ficus elastica,6273,426,5847,0.9321,0.0679,592.0,0.0944,1.3897,0.8882,18,12,14.7271,0.4085,126,5.5,11.5,17.0,intermittent,strong,all_year
alocasia,6273,433,5840,0.931,0.069,555.0,0.0885,1.2818,0.6079,18,12,12.5625,0.2249,44,4.0,21.0,114.0,intermittent,strong,all_year
ananas,6273,438,5835,0.9302,0.0698,569.0,0.0907,1.2991,0.6556,18,12,14.1579,0.2547,357,21.0,37.5,50.8,intermittent,strong,all_year
mirtillo,6273,459,5814,0.9268,0.0732,739.0,0.1178,1.61,0.9725,18,12,13.5546,0.3649,96,17.2,35.5,59.2,intermittent,strong,all_year
ceropegia linearis,6273,476,5797,0.9241,0.0759,745.0,0.1188,1.5651,1.0229,18,12,8.9916,0.4271,235,7.0,19.0,33.8,intermittent,strong,all_year
felce,6273,482,5791,0.9232,0.0768,694.0,0.1106,1.4398,0.9263,18,12,12.4137,0.4139,134,3.5,50.0,136.0,intermittent,strong,all_year
hoya carnosa,6273,488,5785,0.9222,0.0778,641.0,0.1022,1.3135,0.7006,18,12,12.0287,0.2845,254,5.8,15.0,53.0,intermittent,strong,all_year
felce microsorum,6273,503,5770,0.9198,0.0802,698.0,0.1113,1.3877,0.815,18,12,6.7211,0.3449,237,3.5,12.0,20.0,intermittent,strong,all_year
fresia,6273,518,5755,0.9174,0.0826,759.0,0.121,1.4653,0.8958,18,11,12.0387,0.3738,45,7.0,12.0,41.5,intermittent,strong,all_year
melograno,6273,560,5713,0.9107,0.0893,714.0,0.1138,1.275,0.6815,18,12,11.0805,0.2857,241,11.0,22.5,54.8,intermittent,strong,all_year
